die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
8 3/4 x 11 1/2  BK,23 X 29,1,# 243,13 1/2 X 18 1/2,1 5/8
8 3/4 x 11 1/2  BK,23 X 35,1,# 243,13 1/2 X 18 1/2,1 5/8
8 3/4 x 11 1/2  BK,25 X 38,2,# 243,13 1/2 X 18 1/2,1 5/8
8 3/4 x 11 1/2  BK,28 X 40,4,# 243,13 1/2 X 18 1/2,1 5/8
,,,,,
,,,,,
9 x 11  BK,13 1/2 X 19 1/4,1,# 241,13 X 18 3/4,1 1/2
9 x 11  BK,11 X 17 ,0,# 241,13 X 18 3/4,1 1/2
9 x 11  BK,17 1/2 X 22 1/2,1,# 241,13 X 18 3/4,1 1/2
9 x 11  BK,19 X 25,1,# 241,13 X 18 3/4,1 1/2
9 x 11  BK,23 X 29,1,# 241,13 X 18 3/4,1 1/2
9 x 11  BK,23 X 35,1,# 241,13 X 18 3/4,1 1/2
9 x 11  BK,25 X 38,2,# 241,13 X 18 3/4,1 1/2
9 x 11  BK,28 X 40,4,# 241,13 X 18 3/4,1 1/2
,,,,,
,,,,,
9 x 11 1/2  BK,14 X 20,1,# 155,13 1/2 X 19 1/2,2
9 x 11 1/2  BK,11 X 17 ,0,# 155,13 1/2 X 19 1/2,2
9 x 11 1/2  BK,17 1/2 X 22 1/2,1,# 155,13 1/2 X 19 1/2,2
9 x 11 1/2  BK,19 X 25,1,# 155,13 1/2 X 19 1/2,2
9 x 11 1/2  BK,23 X 29,1,# 155,13 1/2 X 19 1/2,2
9 x 11 1/2  BK,23 X 35,1,# 155,13 1/2 X 19 1/2,2
9 x 11 1/2  BK,25 X 38,1,# 155,13 1/2 X 19 1/2,2
9 x 11 1/2  BK,28 X 40,4,# 155,13 1/2 X 19 1/2,2
,,,,,
,,,,,
9 x 11 3/4  BK,14 X 19 3/4,1,# 145,13 1/2 X 19 1/4,1 7/8
